,psu,hhld,sn,abs_sex,abs_age,abs_relhh,abs_edulvl,abs_rsn,abs_nummonth,abs_living,l10_1digit,l10_nsco
10231,1785,1,4,Female,4,Grand son/daughter,NA,5,8,Rupandehi,,NA
10232,1785,1,5,Female,2,Grand son/daughter,NA,5,8,Rupandehi,,NA
10233,1786,11,1,Male,16,Son/Daughter,Class 8,4,9,India,J,9629
10234,1786,6,1,Male,32,Spouse,Illiterate,4,13,India,J,9122
10235,1786,6,2,Male,20,Other relatives,Class 7,4,7,India,J,9122
10236,1786,14,1,Male,46,Spouse,Illiterate,4,2,India,0,0
10237,1786,14,2,Male,20,Son/Daughter,Class 9,4,0,India,0,0
10238,1786,14,3,Male,18,Son/Daughter,Class 4,4,2,India,0,0
10239,1786,13,1,Male,21,Son/Daughter,Class 8,4,0,Doti,J,9321
10240,1786,13,2,Female,16,Son/Daughter,Class 4,3,3,Doti,9,9999
10241,1786,3,1,Male,18,Son/Daughter,Class 9,4,23,India,J,9629
10242,1786,3,2,Male,16,Son/Daughter,SLC and equiv.,3,0,Kanchanpur,9,9999
10243,1786,18,1,Male,31,Spouse,Class 12 and Intermediate,4,14,India,J,9412
10244,1786,5,1,Male,27,Son/Daughter,Class 10,4,27,India,F,5414
10245,1786,12,1,Male,52,Spouse,Illiterate,4,6,India,J,9122
10246,1786,12,2,Male,26,Son/Daughter,Class 12 and Intermediate,4,1,India,F,5414
10247,1786,12,3,Male,24,Son/Daughter,Class 9,4,24,India,F,5153
10248,1786,9,1,Male,27,Son/Daughter,Class 12 and Intermediate,2,3,Bajhang,F,5221
10249,1786,9,2,Female,24,Daughter-in-law,Class 12 and Intermediate,3,12,Kailali,9,9999
10250,1786,9,3,Male,6,Grand son/daughter,Nursery/LKG/UKG,3,24,Kailali,,NA
10251,1786,9,4,Male,4,Grand son/daughter,NA,5,12,Kailali,,NA
10252,1786,10,1,Male,30,Son/Daughter,Class 6,4,36,India,J,9111
10253,1786,10,2,Male,28,Son/Daughter,Class 10,4,24,India,J,9321
10254,1786,10,3,Male,24,Son/Daughter,Class 9,4,36,India,J,9111
10255,1786,10,4,Female,23,Daughter-in-law,Class 9,4,12,India,J,9412
10256,1786,10,5,Female,0,Grand son/daughter,NA,5,0,India,,NA
10257,1786,4,1,Male,29,Spouse,Class 6,4,16,India,J,9412
10258,1786,17,1,Male,39,Son/Daughter,Class 4,4,6,India,F,5153
10259,1786,17,2,Female,37,Daughter-in-law,Illiterate,7,6,India,J,9412
10260,1786,17,3,Male,32,Son/Daughter,Class 1,4,13,India,F,5153
10261,1786,17,4,Male,19,Grand son/daughter,Class 10,3,5,Kailali,9,9999
10262,1786,8,1,Male,44,Father / mother,Illiterate,4,16,India,J,9111
10263,1786,8,2,Female,41,Father / mother,Illiterate,4,8,India,J,9111
10264,1787,20,1,Male,31,Son/Daughter,Master Level and above,1,3,Doti,0,0
10265,1787,20,2,Female,27,Daughter-in-law,Class 12 and Intermediate,1,3,Doti,0,0
10266,1787,20,3,Female,0,Grand son/daughter,NA,5,0,Doti,,NA
10267,1787,11,1,Male,36,Spouse,Class 3,1,7,India,0,0
10268,1787,8,1,Male,27,Spouse,Class 4,1,8,India,J,9122
10269,1787,14,1,Male,26,Son/Daughter,SLC and equiv.,1,7,India,J,9622
10270,1787,6,1,Male,44,Spouse,Illiterate,1,7,India,F,5153
10271,1787,6,2,Male,19,Son/Daughter,Illiterate,1,7,India,F,5131
10272,1787,17,1,Male,24,Son/Daughter,Class 6,1,0,India,F,5153
10273,1787,3,1,Male,58,Spouse,Literate (Levelless),4,19,India,0,0
10274,1787,3,2,Male,19,Son/Daughter,SLC and equiv.,4,8,Kathmandu,J,9111
10275,1787,3,3,Male,16,Son/Daughter,Class 6,4,19,India,0,0
10276,1787,13,1,Male,22,Son/Daughter,Class 10,4,11,India,J,9629
10277,1787,13,2,Male,15,Son/Daughter,Class 6,4,11,India,J,9629
10278,1787,9,1,Male,37,Spouse,Class 3,4,20,India,J,9122
10279,1787,2,1,Male,23,Son/Daughter,Literate (Levelless),4,2,India,J,9629
10280,1787,2,2,Male,13,Son/Daughter,Class 3,4,8,India,0,0
10281,1787,18,1,Male,22,Grand son/daughter,SLC and equiv.,3,5,Kathmandu,9,9999
10282,1787,18,2,Male,18,Grand son/daughter,Class 7,4,2,India,J,9112
10283,1787,15,1,Male,39,Spouse,Class 3,4,8,India,F,5153
10284,1787,7,1,Male,48,Spouse,Illiterate,4,8,India,F,5153
10285,1787,12,1,Male,21,Grand son/daughter,SLC and equiv.,3,5,Doti,9,9999
10286,1787,12,2,Male,17,Grand son/daughter,SLC and equiv.,4,24,India,J,9411
10287,1787,12,3,Male,16,Grand son/daughter,Class 10,4,12,India,J,9333
10288,1788,8,1,Male,34,Spouse,Illiterate,4,4,India,J,9321
10289,1788,20,1,Male,24,Son/Daughter,Class 5,4,5,India,J,9624
10290,1788,20,2,Male,16,Son/Daughter,Class 3,4,14,India,J,9624
10291,1788,11,1,Male,39,Spouse,Illiterate,4,24,India,0,0
10292,1788,11,2,Male,12,Son/Daughter,Class 3,3,4,Doti,9,9999
10293,1788,2,1,Male,54,Spouse,Class 3,4,3,India,9,9999
10294,1788,17,1,Male,43,Spouse,Illiterate,4,14,India,F,5419
